Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
4088,2025-06-19,1,10,37,40,45,47,19,,2,4,4,2,2,0,0,2,2,1,12323051.00,13,108637.00,522,1861.00,1492,355.00,29024,50.00,43140,25.00,520619,10.00
4087,2025-06-16,5,18,27,32,48,49,21,49,2,4,3,3,1,1,1,1,2,0,0.00,6,94294.00,219,1777.00,505,421.00,11228,50.00,15908,25.00,206780,10.00
4086,2025-06-12,3,7,38,41,44,49,20,7,2,4,4,2,2,0,0,1,3,0,0.00,3,114469.00,112,2108.00,318,405.00,5993,50.00,8416,25.00,117333,10.00
4085,2025-06-09,7,10,11,21,32,48,27,,4,2,3,3,2,1,1,1,1,0,0.00,4,68222.00,103,1822.00,391,262.00,6275,50.00,9131,25.00,116903,10.00
4084,2025-06-05,2,5,25,26,29,30,42,,2,4,3,3,2,0,4,0,0,1,1262313.00,1,265750.00,221,827.00,249,401.00,9315,50.00,6970,25.00,133101,10.00
4083,2025-06-02,10,19,21,22,28,31,34,19,4,2,3,3,1,1,3,1,0,1,1295741.00,3,90930.00,149,1259.00,245,418.00,6736,50.00,6594,25.00,122900,10.00
4082,2025-05-29,1,5,7,11,19,47,44,5,5,1,6,0,3,2,0,0,1,3,1970103.00,8,74730.00,457,900.00,685,328.00,21654,50.00,18257,25.00,320136,10.00
4081,2025-05-26,5,9,15,28,46,48,8,48,3,3,3,3,2,1,1,0,2,0,0.00,4,161611.00,179,1484.00,621,234.00,9075,50.00,17993,25.00,161297,10.00
4080,2025-05-22,3,10,32,34,44,48,29,,2,4,1,5,2,0,0,2,2,0,0.00,0,0.00,96,1863.00,170,574.00,4360,50.00,5909,25.00,85351,10.00
4079,2025-05-19,2,15,17,18,39,45,26,17,4,2,4,2,1,3,0,1,1,1,1279986.00,2,134736.00,94,1971.00,247,410.00,4805,50.00,7014,25.00,95577,10.00
4078,2025-05-15,9,16,17,20,34,38,18,"16,20",4,2,2,4,1,3,0,2,0,1,6029737.00,3,202727.00,186,2248.00,550,415.00,12073,50.00,18150,25.00,228643,10.00
4077,2025-05-12,6,16,20,23,40,48,45,,4,2,1,5,1,2,1,1,1,0,0.00,6,65997.00,138,1973.00,371,401.00,7856,50.00,9907,25.00,151903,10.00
4076,2025-05-08,9,13,17,39,46,47,22,,3,3,5,1,1,2,0,1,2,0,0.00,2,132631.00,108,1689.00,210,474.00,4939,50.00,6836,25.00,94717,10.00
4075,2025-05-05,5,8,28,38,40,43,39,8,2,4,2,4,2,0,1,2,1,2,1549227.00,5,79229.00,205,1329.00,449,331.00,10741,50.00,11900,25.00,179103,10.00
4074,2025-05-01,2,8,12,30,35,49,38,"8,12",3,3,2,4,2,1,1,1,1,0,0.00,2,128083.00,109,1616.00,191,503.00,5713,50.00,7158,25.00,109432,10.00
4073,2025-04-28,3,8,12,18,24,41,11,,5,1,2,4,2,2,1,0,1,2,6464725.00,12,124689.00,852,1208.00,2333,241.00,39650,50.00,60384,25.00,666310,10.00
4072,2025-04-24,17,19,21,23,30,40,33,"17,30",4,2,4,2,0,2,3,1,0,0,0.00,3,197702.00,269,1516.00,515,432.00,13071,50.00,15630,25.00,228993,10.00
4071,2025-04-21,1,17,30,37,41,43,32,17,2,4,5,1,1,1,1,1,2,0,0.00,2,316308.00,127,2026.00,279,503.00,6692,50.00,8578,25.00,126457,10.00
4070,2025-04-17,15,17,26,31,40,46,19,,2,4,3,3,0,2,1,2,1,0,0.00,0,0.00,51,3485.00,238,408.00,4624,50.00,6795,25.00,88776,10.00
4069,2025-04-14,6,14,29,30,35,42,25,"14,30",2,4,2,4,1,1,2,1,1,1,3072730.00,2,189847.00,150,1741.00,323,441.00,7158,50.00,10648,25.00,133852,10.00
4068,2025-04-10,14,26,27,30,46,48,10,,1,5,1,5,0,1,3,0,2,0,0.00,3,89066.00,86,2137.00,247,406.00,4282,50.00,7537,25.00,82339,10.00
4067,2025-04-07,7,19,35,40,43,47,33,40,2,4,5,1,1,1,0,2,2,1,1327382.00,2,139725.00,107,1796.00,221,475.00,4907,50.00,6994,25.00,94527,10.00
4066,2025-04-03,12,14,15,16,21,40,23,12,5,1,2,4,0,4,1,1,0,1,5973897.00,10,61216.00,259,1625.00,710,324.00,13882,50.00,18402,25.00,243015,10.00
4065,2025-03-31,9,12,17,23,29,46,20,,4,2,4,2,1,2,2,0,1,0,0.00,6,63417.00,189,1385.00,499,286.00,10077,50.00,13349,25.00,173576,10.00
4064,2025-03-27,21,22,27,35,40,42,3,,2,4,3,3,0,0,3,2,1,0,0.00,1,265009.00,82,2222.00,233,427.00,4887,50.00,7075,25.00,90715,10.00
4063,2025-03-24,18,19,25,28,31,44,34,,2,4,3,3,0,2,2,1,1,1,1301717.00,1,274046.00,98,1923.00,294,350.00,6299,50.00,7264,25.00,113390,10.00
4062,2025-03-20,9,10,11,13,23,42,20,42,5,1,4,2,2,2,1,0,1,1,1216346.00,4,162575.00,182,968.00,531,181.00,8601,50.00,11994,25.00,131439,10.00
4061,2025-03-17,7,30,39,42,43,48,33,42,1,5,3,3,1,0,1,1,3,1,3172134.00,0,0.00,132,2054.00,398,372.00,6743,50.00,10212,25.00,129785,10.00
4060,2025-03-13,16,26,34,36,42,49,41,42,1,5,1,5,0,1,1,2,2,0,0.00,3,91198.00,94,2001.00,204,503.00,4804,50.00,6235,25.00,89640,10.00
4059,2025-03-10,5,7,32,38,42,47,27,38,2,4,3,3,2,0,0,2,2,1,1337645.00,3,93870.00,95,2038.00,324,326.00,5139,50.00,8221,25.00,98410,10.00
4058,2025-03-06,19,33,35,38,46,49,39,49,1,5,4,2,0,1,0,3,2,2,6743664.00,19,79343.00,536,1934.00,1490,380.00,29758,50.00,41791,25.00,543400,10.00
4057,2025-03-03,4,16,24,25,43,49,46,,3,3,3,3,1,1,2,0,2,0,0.00,5,132911.00,210,2176.00,587,425.00,12932,50.00,16638,25.00,244769,10.00
4056,2025-02-27,2,10,13,15,37,40,28,37,4,2,3,3,2,2,0,2,0,0,0.00,2,189079.00,114,2281.00,437,325.00,7644,50.00,12397,25.00,145202,10.00
4055,2025-02-24,24,37,38,42,48,49,31,"37,42",1,5,2,4,0,0,1,2,3,0,0.00,1,289228.00,94,2116.00,207,524.00,5185,50.00,6449,25.00,95073,10.00
4054,2025-02-20,3,25,31,37,39,42,21,"39,42",1,5,5,1,1,0,1,3,1,1,3249509.00,1,380878.00,142,1845.00,330,433.00,6592,50.00,9322,25.00,128681,10.00
4053,2025-02-17,1,16,23,39,41,42,9,,3,3,4,2,1,1,1,1,2,0,0.00,1,303230.00,87,2397.00,266,428.00,4936,50.00,8692,25.00,99898,10.00
4052,2025-02-13,5,8,13,28,30,49,17,,3,3,3,3,2,1,2,0,1,1,1455213.00,6,51061.00,160,1317.00,462,249.00,9012,50.00,11815,25.00,153434,10.00
4051,2025-02-10,1,3,7,18,34,39,46,18,4,2,4,2,3,1,0,2,0,1,1427176.00,2,150229.00,135,1531.00,225,501.00,7427,50.00,6535,25.00,136220,10.00
4050,2025-02-07,16,18,22,23,28,35,32,,4,2,2,4,0,2,3,1,0,3,4209825.00,36,73857.00,1172,1560.00,3306,302.00,60358,50.00,83889,25.00,1079969,10.00
4049,2025-02-03,1,12,29,31,41,48,25,,2,4,4,2,1,1,1,1,2,1,1919191.00,3,238686.00,170,1634.00,497,305.00,8910,50.00,13852,25.00,157847,10.00
4048,2025-01-30,2,9,13,24,26,43,49,"26,43",4,2,3,3,2,1,2,0,1,1,1482074.00,0,0.00,126,1703.00,303,387.00,6926,50.00,8096,25.00,130392,10.00
4047,2025-01-27,7,16,22,26,33,43,44,43,3,3,3,3,1,1,2,1,1,1,1401283.00,2,147504.00,129,1573.00,297,373.00,6137,50.00,7280,25.00,111267,10.00
